研修プログラムコード,コース番号,コマ記号,表示順,所要時間,タイトル,説明
gen,39,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,40,B0,1,0.5,看護職(外来・クリニック)業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,40,B11,2,0.5,生成AIによる看護文書作成・基礎,看護記録の文章整形
gen,40,B12,3,1.0,生成AIによる看護文書作成・実践,医師の指示内容にもとづく生活指導文書の作成 / 情報提供書の下書き
gen,40,B21,4,0.5,生成AIによる外来データ整理・基礎,問診票データの整理
gen,40,B22,5,0.5,生成AIによる外来データ整理・実践,検査予約の管理表
gen,40,B3,6,1.0,生成AIによる院内整備応用①,院内マニュアル(感染対策・器材管理)の文書更新
gen,40,B4,7,1.0,生成AIによる院内整備応用②,勉強会資料の骨子作成
gen,40,B5,8,1.0,生成AIによる院内整備総合演習,ここまでの成果物を統合し、自身の業務を題材とした院内整備の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,40,C1,9,1.5,記録業務の生成AIテンプレート作成,記録テンプレ / 指導文書の文例集
gen,40,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,40,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,40,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,40,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,41,B0,1,0.5,生産管理職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,41,B11,2,0.5,生成AIによる生産文書作成・基礎,生産計画変更の連絡文
gen,41,B12,3,1.0,生成AIによる生産文書作成・実践,納期回答 / 協力工場への依頼文
gen,41,B21,4,0.5,生成AIによる生産データ整理・基礎,生産実績CSVのライン別・品目別集計
gen,41,B22,5,0.5,生成AIによる生産データ整理・実践,負荷状況の整理
gen,41,B3,6,1.0,生成AIによる計画改善応用①,ボトルネック分析の報告書
gen,41,B4,7,1.0,生成AIによる計画改善応用②,条件変更による生産計画の比較シミュレーション
gen,41,B5,8,1.0,生成AIによる計画改善総合演習,ここまでの成果物を統合し、自身の業務を題材とした計画改善の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,41,C1,9,1.5,生産管理の生成AIテンプレート作成,週次生産会議資料テンプレート / 納期回答テンプレ
gen,41,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,41,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,41,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,41,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,42,B0,1,0.5,品質管理職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,42,B11,2,0.5,生成AIによる品質文書作成・基礎,不適合報告書・是正処置報告書の作成
gen,42,B12,3,1.0,生成AIによる品質文書作成・実践,顧客への品質回答書
gen,42,B21,4,0.5,生成AIによる検査データ整理・基礎,検査データの集計(不良率推移・パレート分析用整理)
gen,42,B22,5,0.5,生成AIによる検査データ整理・実践,クレームの分類
gen,42,B3,6,1.0,生成AIによる原因分析応用①,なぜなぜ分析の壁打ちと報告書化
gen,42,B4,7,1.0,生成AIによる原因分析応用②,検査基準書の文書整備
gen,42,B5,8,1.0,生成AIによる原因分析総合演習,ここまでの成果物を統合し、自身の業務を題材とした原因分析の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,42,C1,9,1.5,品質業務の生成AIテンプレート作成,是正報告書テンプレ / 月次品質レポートテンプレート
gen,42,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,42,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,42,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,42,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,43,B0,1,0.5,製造リーダー・班長職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,43,B11,2,0.5,生成AIによる現場文書作成・基礎,作業日報の整形
gen,43,B12,3,1.0,生成AIによる現場文書作成・実践,朝礼連絡事項の整理 / 安全注意喚起文
gen,43,B21,4,0.5,生成AIによる現場データ整理・基礎,生産日報データの集計
gen,43,B22,5,0.5,生成AIによる現場データ整理・実践,段取り時間の記録整理
gen,43,B3,6,1.0,生成AIによる技能伝承応用①,作業説明の文字起こし→作業手順書化
gen,43,B4,7,1.0,生成AIによる技能伝承応用②,新人OJT計画の作成
gen,43,B5,8,1.0,生成AIによる技能伝承総合演習,ここまでの成果物を統合し、自身の業務を題材とした技能伝承の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,43,C1,9,1.5,現場管理の生成AIテンプレート作成,日報テンプレ / 手順書化テンプレート
gen,43,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,43,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,43,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,43,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,44,B0,1,0.5,物流・倉庫管理職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,44,B11,2,0.5,生成AIによる物流文書作成・基礎,入出荷案内・遅延連絡文
gen,44,B12,3,1.0,生成AIによる物流文書作成・実践,誤出荷報告書 / 庫内掲示物
gen,44,B21,4,0.5,生成AIによる物流データ整理・基礎,入出荷実績の集計
gen,44,B22,5,0.5,生成AIによる物流データ整理・実践,在庫差異リストの整理 / ロケーション一覧の整備
gen,44,B3,6,1.0,生成AIによる庫内改善応用①,繁閑波動に対応したシフト計画案
gen,44,B4,7,1.0,生成AIによる庫内改善応用②,庫内作業マニュアルの文書化
gen,44,B5,8,1.0,生成AIによる庫内改善総合演習,ここまでの成果物を統合し、自身の業務を題材とした庫内改善の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,44,C1,9,1.5,物流業務の生成AIテンプレート作成,誤出荷報告テンプレ / 月次庫内KPIレポート
gen,44,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,44,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,44,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,44,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,45,B0,1,0.5,ドライバー・配車管理職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,45,B11,2,0.5,生成AIによる運行文書作成・基礎,配送日報
gen,45,B12,3,1.0,生成AIによる運行文書作成・実践,顧客への到着時間連絡文 / 事故・ヒヤリハット報告書
gen,45,B21,4,0.5,生成AIによる運行データ整理・基礎,配送実績の集計(件数・距離・時間)
gen,45,B22,5,0.5,生成AIによる運行データ整理・実践,再配達理由の分類
gen,45,B3,6,1.0,生成AIによる運行改善応用①,配送ルートの検討補助
gen,45,B4,7,1.0,生成AIによる運行改善応用②,安全会議資料の作成
gen,45,B5,8,1.0,生成AIによる運行改善総合演習,ここまでの成果物を統合し、自身の業務を題材とした運行改善の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,45,C1,9,1.5,運行管理の生成AIテンプレート作成,日報テンプレ / 遅延連絡文集
gen,45,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,45,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,45,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,45,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,46,B0,1,0.5,施工管理職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,46,B11,2,0.5,生成AIによる工事文書作成・基礎,工事打合せ議事録
gen,46,B12,3,1.0,生成AIによる工事文書作成・実践,近隣挨拶文 / 協力会社への指示書
gen,46,B21,4,0.5,生成AIによる工程データ整理・基礎,工程表の作成補助・進捗更新
gen,46,B22,5,0.5,生成AIによる工程データ整理・実践,写真台帳の整理計画
gen,46,B3,6,1.0,生成AIによる現場運営応用①,安全書類(KY活動記録等)の作成効率化
gen,46,B4,7,1.0,生成AIによる現場運営応用②,施主への進捗報告書
gen,46,B5,8,1.0,生成AIによる現場運営総合演習,ここまでの成果物を統合し、自身の業務を題材とした現場運営の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,46,C1,9,1.5,施工管理の生成AIテンプレート作成,議事録テンプレート / 週間工程会議テンプレ
gen,46,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,46,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,46,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,46,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,47,B0,1,0.5,設備保守職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,47,B11,2,0.5,生成AIによる保守文書作成・基礎,点検報告書の作成
gen,47,B12,3,1.0,生成AIによる保守文書作成・実践,故障対応の顧客説明文 / 部品手配依頼
gen,47,B21,4,0.5,生成AIによる保守データ整理・基礎,点検記録のデータ化と履歴検索
gen,47,B22,5,0.5,生成AIによる保守データ整理・実践,故障傾向の集計
gen,47,B3,6,1.0,生成AIによる保全計画応用①,予防保全計画の整理
gen,47,B4,7,1.0,生成AIによる保全計画応用②,過去対応履歴→事例集としてのナレッジ化
gen,47,B5,8,1.0,生成AIによる保全計画総合演習,ここまでの成果物を統合し、自身の業務を題材とした保全計画の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,47,C1,9,1.5,保守業務の生成AIテンプレート作成,点検報告テンプレ / 故障対応記録テンプレート
gen,47,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,47,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,47,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,47,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,48,B0,1,0.5,電気・空調工事職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,48,B11,2,0.5,生成AIによる工事文書作成・基礎,見積書の内訳説明文
gen,48,B12,3,1.0,生成AIによる工事文書作成・実践,工事案内(停電・騒音のお知らせ) / 完了報告書
gen,48,B21,4,0.5,生成AIによる工事データ整理・基礎,材料拾い出しリストの整理
gen,48,B22,5,0.5,生成AIによる工事データ整理・実践,工事写真の整理計画
gen,48,B3,6,1.0,生成AIによる施工品質応用①,施工手順の文書化
gen,48,B4,7,1.0,生成AIによる施工品質応用②,安全教育資料の作成
gen,48,B5,8,1.0,生成AIによる施工品質総合演習,ここまでの成果物を統合し、自身の業務を題材とした施工品質の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,48,C1,9,1.5,工事業務の生成AIテンプレート作成,見積内訳テンプレ / 完了報告テンプレート
gen,48,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,48,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,48,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,48,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,49,B0,1,0.5,農業生産管理職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,49,B11,2,0.5,生成AIによる農場文書作成・基礎,作業日誌のデータ化
gen,49,B12,3,1.0,生成AIによる農場文書作成・実践,出荷先への案内文 / 直売所POP・EC商品説明文
gen,49,B21,4,0.5,生成AIによる栽培データ整理・基礎,栽培記録(播種・防除・収穫)の集計
gen,49,B22,5,0.5,生成AIによる栽培データ整理・実践,気象と収量の整理
gen,49,B3,6,1.0,生成AIによる営農計画応用①,出荷計画の作成
gen,49,B4,7,1.0,生成AIによる営農計画応用②,栽培暦の文書化と改善メモ
gen,49,B5,8,1.0,生成AIによる営農計画総合演習,ここまでの成果物を統合し、自身の業務を題材とした営農計画の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,49,C1,9,1.5,営農業務の生成AIテンプレート作成,作業日誌テンプレ / 出荷案内文集
gen,49,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,49,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,49,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,49,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,50,B0,1,0.5,造園・外構職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,50,B11,2,0.5,生成AIによる提案文書作成・基礎,見積提案書の説明文
gen,50,B12,3,1.0,生成AIによる提案文書作成・実践,施工事例紹介文 / 剪定時期の案内DM
gen,50,B21,4,0.5,生成AIによる顧客データ整理・基礎,顧客台帳の整理(施工履歴・メンテ時期)
gen,50,B22,5,0.5,生成AIによる顧客データ整理・実践,見積項目の整理
gen,50,B3,6,1.0,生成AIによる提案応用①,定期メンテナンス提案書の作成
gen,50,B4,7,1.0,生成AIによる提案応用②,施工前後写真の紹介記事化
gen,50,B5,8,1.0,生成AIによる提案総合演習,ここまでの成果物を統合し、自身の業務を題材とした提案の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,50,C1,9,1.5,受注業務の生成AIテンプレート作成,季節DMテンプレ / 見積説明の型
gen,50,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,50,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,50,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,50,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,51,B0,1,0.5,飲食店舗運営職(店長)業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,51,B11,2,0.5,生成AIによる店舗文書作成・基礎,シフト募集・変更連絡文
gen,51,B12,3,1.0,生成AIによる店舗文書作成・実践,クレーム対応文書 / 新メニュー告知文
gen,51,B21,4,0.5,生成AIによる店舗データ整理・基礎,売上・客数の曜日・時間帯別集計
gen,51,B22,5,0.5,生成AIによる店舗データ整理・実践,食材発注量の整理
gen,51,B3,6,1.0,生成AIによる店舗運営応用①,新人教育マニュアルの文書化
gen,51,B4,7,1.0,生成AIによる店舗運営応用②,販促企画(グルメサイト・SNS)案
gen,51,B5,8,1.0,生成AIによる店舗運営総合演習,ここまでの成果物を統合し、自身の業務を題材とした店舗運営の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,51,C1,9,1.5,店長業務の生成AIテンプレート作成,発注量計算の型 / クレーム対応テンプレ
gen,51,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,51,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,51,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,51,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,52,B0,1,0.5,調理・キッチン管理職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,52,B11,2,0.5,生成AIによる厨房文書作成・基礎,レシピの標準化文書(分量・手順)
gen,52,B12,3,1.0,生成AIによる厨房文書作成・実践,仕込み指示書 / 衛生記録の整形
gen,52,B21,4,0.5,生成AIによる原価データ整理・基礎,原価計算表の作成・更新
gen,52,B22,5,0.5,生成AIによる原価データ整理・実践,食材ロス記録の集計
gen,52,B3,6,1.0,生成AIによるメニュー開発応用①,新メニューの原価シミュレーション
gen,52,B4,7,1.0,生成AIによるメニュー開発応用②,アレルギー対応一覧の整備
gen,52,B5,8,1.0,生成AIによるメニュー開発総合演習,ここまでの成果物を統合し、自身の業務を題材としたメニュー開発の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,52,C1,9,1.5,厨房業務の生成AIテンプレート作成,レシピ標準フォーマット / 原価更新テンプレート
gen,52,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,52,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,52,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,52,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,53,B0,1,0.5,宿泊フロント職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,53,B11,2,0.5,生成AIによる宿泊文書作成・基礎,予約確認・アップセル案内メール(多言語対応)
gen,53,B12,3,1.0,生成AIによる宿泊文書作成・実践,口コミ返信 / 館内案内文
gen,53,B21,4,0.5,生成AIによる予約データ整理・基礎,予約データの稼働集計
gen,53,B22,5,0.5,生成AIによる予約データ整理・実践,問い合わせの分類
gen,53,B3,6,1.0,生成AIによるおもてなし応用①,周辺観光案内の作成(多言語)
gen,53,B4,7,1.0,生成AIによるおもてなし応用②,繁忙期オペレーションの文書化
gen,53,B5,8,1.0,生成AIによるおもてなし総合演習,ここまでの成果物を統合し、自身の業務を題材としたおもてなしの通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,53,C1,9,1.5,フロント業務の生成AIテンプレート作成,多言語テンプレ集 / 口コミ返信の型
gen,53,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,53,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,53,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,53,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,54,B0,1,0.5,美容師・サロン運営職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,54,B11,2,0.5,生成AIによる顧客文書作成・基礎,カウンセリング記録の整形
gen,54,B12,3,1.0,生成AIによる顧客文書作成・実践,指名客へのフォローLINE / キャンペーン告知
gen,54,B21,4,0.5,生成AIによるカルテデータ整理・基礎,顧客カルテの整理(来店周期・施術履歴)
gen,54,B22,5,0.5,生成AIによるカルテデータ整理・実践,リピート率集計
gen,54,B3,6,1.0,生成AIによる集客応用①,スタイル紹介文(SNS投稿)
gen,54,B4,7,1.0,生成AIによる集客応用②,失客リストへの再来店アプローチ文
gen,54,B5,8,1.0,生成AIによる集客総合演習,ここまでの成果物を統合し、自身の業務を題材とした集客の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,54,C1,9,1.5,サロン業務の生成AIテンプレート作成,カルテ記録テンプレ / 来店周期別フォロー文集
gen,54,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,54,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,54,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,54,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,55,B0,1,0.5,エステ・リラクゼーション職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,55,B11,2,0.5,生成AIによる接客文書作成・基礎,カウンセリングシートの記録整形
gen,55,B12,3,1.0,生成AIによる接客文書作成・実践,施術後のホームケア案内 / コース説明文
gen,55,B21,4,0.5,生成AIによる顧客データ整理・基礎,予約・リピートデータの集計
gen,55,B22,5,0.5,生成AIによる顧客データ整理・実践,物販購入履歴の整理
gen,55,B3,6,1.0,生成AIによる提案応用①,回数券・コース提案のトーク整理
gen,55,B4,7,1.0,生成AIによる提案応用②,季節キャンペーン企画案
gen,55,B5,8,1.0,生成AIによる提案総合演習,ここまでの成果物を統合し、自身の業務を題材とした提案の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,55,C1,9,1.5,接客業務の生成AIテンプレート作成,カウンセリング記録テンプレ / フォローメッセージ集
gen,55,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
