研修プログラムコード,職種カテゴリコード,コース番号,職種名,目的,表示順
gen,G,64,経営企画職,①経営企画職に従事する従業員(雇用契約書上の職務が該当する方)が、②企画文書作成・経営データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる企画文書作成・経営データ整理・戦略立案、企画業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,64
gen,G,65,店舗開発職,①店舗開発職に従事する従業員(雇用契約書上の職務が該当する方)が、②開発文書作成・物件データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる開発文書作成・物件データ整理・出店判断、開発業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,65
gen,G,66,教育・講師職(スクール運営),①教育・講師職(スクール運営)に従事する従業員(雇用契約書上の職務が該当する方)が、②教務文書作成・教務データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる教務文書作成・教務データ整理・授業設計、教務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,66
agent,A,01,経理職,"①経理職に従事する従業員(雇用契約書上の職務が該当する方)が、②経理文書作成・経理データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",1
agent,A,02,財務・資金管理職,"①財務・資金管理職に従事する従業員(雇用契約書上の職務が該当する方)が、②財務文書作成・資金データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",2
agent,A,03,総務職,"①総務職に従事する従業員(雇用契約書上の職務が該当する方)が、②総務文書作成・台帳データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",3
agent,A,04,人事職(採用),"①人事職(採用)に従事する従業員(雇用契約書上の職務が該当する方)が、②採用文書作成・応募データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",4
agent,A,05,人事職(教育・評価),"①人事職(教育・評価)に従事する従業員(雇用契約書上の職務が該当する方)が、②育成文書作成・育成データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",5
agent,A,06,労務職,"①労務職に従事する従業員(雇用契約書上の職務が該当する方)が、②労務文書作成・勤怠データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",6
agent,A,07,一般事務職,"①一般事務職に従事する従業員(雇用契約書上の職務が該当する方)が、②事務文書作成・事務データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",7
agent,A,08,営業事務職,"①営業事務職に従事する従業員(雇用契約書上の職務が該当する方)が、②受発注文書作成・受注データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",8
agent,A,09,貿易事務職,"①貿易事務職に従事する従業員(雇用契約書上の職務が該当する方)が、②貿易文書作成・船積データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",9
agent,A,10,調達・購買職,"①調達・購買職に従事する従業員(雇用契約書上の職務が該当する方)が、②購買文書作成・仕入データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",10
agent,A,11,秘書・役員アシスタント職,"①秘書・役員アシスタント職に従事する従業員(雇用契約書上の職務が該当する方)が、②調整文書作成・手配データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",11
agent,A,12,法務・契約事務職,"①法務・契約事務職に従事する従業員(雇用契約書上の職務が該当する方)が、②契約関連文書作成・契約データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。
※本コースにおける生成AIの活用は文書作成・情報整理の補助であり、専門的判断は有資格者・担当者が行います。",12
agent,B,13,法人営業職(新規開拓),"①法人営業職(新規開拓)に従事する従業員(雇用契約書上の職務が該当する方)が、②営業文書作成・商談データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",13
agent,B,14,ルート営業職,"①ルート営業職に従事する従業員(雇用契約書上の職務が該当する方)が、②訪問文書作成・顧客データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",14
agent,B,15,インサイドセールス職,"①インサイドセールス職に従事する従業員(雇用契約書上の職務が該当する方)が、②架電・メール文書作成・リードデータ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",15
agent,B,16,カスタマーサクセス職,"①カスタマーサクセス職に従事する従業員(雇用契約書上の職務が該当する方)が、②顧客支援文書作成・利用データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",16
agent,B,17,販売営業職(店舗販売),"①販売営業職(店舗販売)に従事する従業員(雇用契約書上の職務が該当する方)が、②店頭文書作成・売上データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",17
agent,B,18,不動産売買営業職,"①不動産売買営業職に従事する従業員(雇用契約書上の職務が該当する方)が、②物件文書作成・相場データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",18
agent,B,19,不動産賃貸営業・管理職,"①不動産賃貸営業・管理職に従事する従業員(雇用契約書上の職務が該当する方)が、②賃貸文書作成・物件データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",19
agent,B,20,住宅・リフォーム営業職,"①住宅・リフォーム営業職に従事する従業員(雇用契約書上の職務が該当する方)が、②提案文書作成・見積データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",20
agent,B,21,保険営業職,"①保険営業職に従事する従業員(雇用契約書上の職務が該当する方)が、②顧客文書作成・顧客データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。
※本コースにおける生成AIの活用は文書作成・情報整理の補助であり、専門的判断は有資格者・担当者が行います。",21
agent,B,22,自動車販売営業職,"①自動車販売営業職に従事する従業員(雇用契約書上の職務が該当する方)が、②販売文書作成・顧客データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",22
agent,C,23,マーケティング職,"①マーケティング職に従事する従業員(雇用契約書上の職務が該当する方)が、②広告文書作成・計測データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",23
agent,C,24,SNS運用職,"①SNS運用職に従事する従業員(雇用契約書上の職務が該当する方)が、②投稿文作成・投稿データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",24
agent,C,25,広報・PR職,"①広報・PR職に従事する従業員(雇用契約書上の職務が該当する方)が、②広報文書作成・掲載データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",25
agent,C,26,ライター・編集職,"①ライター・編集職に従事する従業員(雇用契約書上の職務が該当する方)が、②記事作成・編集データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",26
agent,C,27,Webデザイナー職,"①Webデザイナー職に従事する従業員(雇用契約書上の職務が該当する方)が、②制作関連文書作成・進行データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",27
agent,C,28,グラフィックデザイナー職,"①グラフィックデザイナー職に従事する従業員(雇用契約書上の職務が該当する方)が、②制作文書作成・入稿データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",28
agent,C,29,動画制作職,"①動画制作職に従事する従業員(雇用契約書上の職務が該当する方)が、②台本作成・素材データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",29
agent,C,30,EC運営職,"①EC運営職に従事する従業員(雇用契約書上の職務が該当する方)が、②商品ページ作成・販売データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",30
agent,D,31,介護職(入所施設),"①介護職(入所施設)に従事する従業員(雇用契約書上の職務が該当する方)が、②介護記録作成・記録データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",31
agent,D,32,介護職(通所・デイサービス),"①介護職(通所・デイサービス)に従事する従業員(雇用契約書上の職務が該当する方)が、②連絡文書作成・利用データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",32
agent,D,33,訪問介護職,"①訪問介護職に従事する従業員(雇用契約書上の職務が該当する方)が、②訪問記録作成・訪問データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",33
agent,D,34,ケアマネジャー職,"①ケアマネジャー職に従事する従業員(雇用契約書上の職務が該当する方)が、②計画文書作成・支援データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。
※本コースにおける生成AIの活用は文書作成・情報整理の補助であり、専門的判断は有資格者・担当者が行います。",34
agent,D,35,生活支援員(障害福祉),"①生活支援員(障害福祉)に従事する従業員(雇用契約書上の職務が該当する方)が、②支援記録作成・支援データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",35
agent,D,36,児童指導員(放課後等デイサービス),"①児童指導員(放課後等デイサービス)に従事する従業員(雇用契約書上の職務が該当する方)が、②報告文書作成・活動データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",36
agent,D,37,保育士職,"①保育士職に従事する従業員(雇用契約書上の職務が該当する方)が、②保育文書作成・計画データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",37
agent,D,38,医療事務職,"①医療事務職に従事する従業員(雇用契約書上の職務が該当する方)が、②患者案内文書作成・受付データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。
※本コースにおける生成AIの活用は文書作成・情報整理の補助であり、専門的判断は有資格者・担当者が行います。",38
agent,D,39,歯科受付・助手職,"①歯科受付・助手職に従事する従業員(雇用契約書上の職務が該当する方)が、②患者連絡文作成・予約データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",39
agent,D,40,看護職(外来・クリニック),"①看護職(外来・クリニック)に従事する従業員(雇用契約書上の職務が該当する方)が、②看護文書作成・外来データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。
※本コースにおける生成AIの活用は文書作成・情報整理の補助であり、専門的判断は有資格者・担当者が行います。",40
agent,E,41,生産管理職,"①生産管理職に従事する従業員(雇用契約書上の職務が該当する方)が、②生産文書作成・生産データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",41
agent,E,42,品質管理職,"①品質管理職に従事する従業員(雇用契約書上の職務が該当する方)が、②品質文書作成・検査データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",42
agent,E,43,製造リーダー・班長職,"①製造リーダー・班長職に従事する従業員(雇用契約書上の職務が該当する方)が、②現場文書作成・現場データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",43
agent,E,44,物流・倉庫管理職,"①物流・倉庫管理職に従事する従業員(雇用契約書上の職務が該当する方)が、②物流文書作成・物流データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",44
agent,E,45,ドライバー・配車管理職,"①ドライバー・配車管理職に従事する従業員(雇用契約書上の職務が該当する方)が、②運行文書作成・運行データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",45
agent,E,46,施工管理職,"①施工管理職に従事する従業員(雇用契約書上の職務が該当する方)が、②工事文書作成・工程データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",46
agent,E,47,設備保守職,"①設備保守職に従事する従業員(雇用契約書上の職務が該当する方)が、②保守文書作成・保守データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",47
agent,E,48,電気・空調工事職,"①電気・空調工事職に従事する従業員(雇用契約書上の職務が該当する方)が、②工事文書作成・工事データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",48
agent,E,49,農業生産管理職,"①農業生産管理職に従事する従業員(雇用契約書上の職務が該当する方)が、②農場文書作成・栽培データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",49
